Image,Target Image,Similarity
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (238).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.5506706237793
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (239).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,33.458465337753296
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (24).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.99251449108124
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (240).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.29718554019928
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (241).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.150715589523315
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (242).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,56.69165849685669
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (243).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.300466656684875
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (244).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,47.42177724838257
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (245).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.655131220817566
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (246).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.056602478027344
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (247).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.31293702125549
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (248).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,46.82059288024902
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (249).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.93111276626587
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (25).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,24.692343175411224
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (250).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.0080007314682
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (251).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.26578235626221
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (252).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,64.58113193511963
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (253).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.947153210639954
